uid,gender,birth,age,zip,gender_pred,is_edm_ok,is_company,reject,PC,Phone,Tablet,Other,last_login,rfm_new,rfm_lastmonth,nes,frequency,monetary,recency,maxprice,avgprice,cnt_item,acc_discount,day_of_week,part_of_day,order_region0,order_region1,order_region2,order_store0,order_store1,order_store2,categories_0_,sign3_0,sign3_1,sign3_2,region3_0,region3_1,region3_2,sign6_0,sign6_1,sign6_2,region6_0,region6_1,region6_2,sign12_0,sign12_1,sign12_2,region12_0,region12_1,region12_2
13666229,O,,,249,F,FALSE,FALSE,FALSE,,,,,13,活躍_低價值,非潛力,活耀,1,649,13,649,649,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7866106,F,,,900,F,FALSE,FALSE,FALSE,,,,,26,活躍_低價值,非潛力,活耀,1,6799,26,6799,6799,1,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
6025010,F,,,804,F,FALSE,FALSE,FALSE,,,,,61,活躍_中價值,高忠誠高貢獻,活耀,5,7846,16,1809,1569.2,17,768,,,,,,,,,,,,,,,,,,,,,,,,,,,
7458174,F,,,433,F,FALSE,FALSE,FALSE,,,,,56,活躍_中價值,高潛力高貢獻,活耀,3,40988,15,19000,10247,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13760495,O,,,510,F,FALSE,FALSE,FALSE,,,,,13,活躍_低價值,,活耀,1,869,13,869,869,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6992951,F,,,358,F,FALSE,FALSE,FALSE,42,0,0,0,18,活躍_低價值,非潛力,活耀,1,8888,47,8888,8888,1,0,,,,,,,,,,,,,,,,生活,周邊,日用,辦公設備,南紡生活,家飾,生活,周邊,日用,辦公設備,南紡生活,開運
17665931,F,19680309,55,831,F,FALSE,FALSE,FALSE,,,,,60,,,潛在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17924247,O,,,900,F,FALSE,FALSE,FALSE,,,,,83,未轉換,,潛在,,,142,,,,,1,早上,,,,,,,,,,,,,,,,,,,,,,,,,
302288,F,,,413,F,FALSE,FALSE,FALSE,,,,,31,活躍_低價值,低潛力高貢獻,活耀,2,1148,32,698,574,7,0,4,下午,,,,,,,,食品,,,,,,,,,,,,日用,,,,,
7785361,F,,,806,F,FALSE,FALSE,FALSE,,,,,29,活躍_低價值,,活耀,2,2119,0,1420,1059.5,4,100,3,下午,,,,,,,,,,,,,,,,,,,,,,,,,
